時間戳記,電燈狀態,溫度,濕度
2025-11-29 14:11:10,關,27.87,57.13
2025-11-29 14:16:10,開,23.95,63.4
2025-11-29 14:21:10,關,25.57,59.94
2025-11-29 14:26:10,關,23.59,61.66
2025-11-29 14:31:10,關,26.82,59.87
2025-11-29 14:36:10,關,25.07,60.56
2025-11-29 14:41:10,開,25.07,67.36
2025-11-29 14:46:10,開,25.64,68.79
2025-11-29 14:51:10,關,31.31,60.11
2025-11-29 14:56:10,關,29.59,59.21
2025-11-29 15:01:10,關,27.12,56.7
2025-11-29 15:06:10,關,27.76,66.59
2025-11-29 15:11:10,開,25.54,65.83
2025-11-29 15:16:10,關,27.68,62.61
2025-11-29 15:21:10,關,24.95,60.26
2025-11-29 15:26:10,開,26.0,68.69
2025-11-29 15:31:10,開,26.03,63.66
2025-11-29 15:36:10,開,26.66,61.04
2025-11-29 15:41:10,關,27.35,59.72
2025-11-29 15:46:10,關,26.69,59.43
2025-11-29 15:51:10,開,24.96,59.95
2025-11-29 15:56:10,開,25.15,68.47
2025-11-29 16:01:10,關,28.1,67.28
2025-11-29 16:06:10,關,24.17,69.72
2025-11-29 16:11:10,關,29.57,63.52
2025-11-29 16:16:10,開,29.14,58.25
2025-11-29 16:21:10,關,27.38,64.42
2025-11-29 16:26:10,開,26.28,61.68
2025-11-29 16:31:10,開,31.4,65.5
2025-11-29 16:36:10,開,27.56,61.54
2025-11-29 16:41:10,關,25.11,69.48
2025-11-29 16:46:10,開,24.26,61.24
2025-11-29 16:51:10,關,26.77,57.7
2025-11-29 16:56:10,關,26.84,57.87
2025-11-29 17:01:10,關,25.67,60.31
2025-11-29 17:06:10,開,30.4,58.45
2025-11-29 17:11:10,關,26.09,62.64
2025-11-29 17:16:10,關,25.62,64.92
2025-11-29 17:21:10,關,31.75,69.79
2025-11-29 17:26:10,開,29.07,68.59
2025-11-29 17:31:10,關,25.82,58.72
2025-11-29 17:36:10,關,26.18,65.71
2025-11-29 17:41:10,關,28.55,56.99
2025-11-29 17:46:10,關,25.68,66.35
2025-11-29 17:51:10,開,24.83,67.0
2025-11-29 17:56:10,關,25.58,62.98
2025-11-29 18:01:10,關,25.17,60.87
2025-11-29 18:06:10,關,30.83,69.27
2025-11-29 18:11:10,開,27.6,55.29
2025-11-29 18:16:10,開,27.49,56.82
